#,Midtown / Downtown,Buckhead,Alpharetta / Johns Creek / Norcross / North Fulton / Gwinett,Kennesaw / Woodstock,Other,How many ATL.JS meetups did you attend in 2015?,Did not want to commute,Not interested in topic for that night,Conflict with another meetup,Already saw the talk(s) for that night,The group felt intimidating last time I went,Weather or other things outside of your control,"Inconvinience of event location (parking, or other)",Personal conflict,Other,What are the talks/topics you would make a point of coming out to see?,What are some topics you can present on if called upon by popular demand from the community?,Do you have any other ideas for us as to how to make ATL.JS better for its members?
f08da924dfc800a4d470bd0328f1040b,Midtown / Downtown,,,,,10,,,,Already saw the talk(s) for that night,,,,Personal conflict,,"JavaScript core programming lessons, React.js, JS Testing, Methodologies / Approaches to programming ",,Offering more Hacker Hours. 
8d4f754f5a3d75e793e231f25553bd35,,,Alpharetta / Johns Creek / Norcross / North Fulton / Gwinett,,,0,Did not want to commute,,,,,,,,,,,
daecb5a798114d8df31cb6573d93ad94,Midtown / Downtown,,,,,6,,Not interested in topic for that night,,,,,,,,"React
Angular
ES6 & ES7","AngularJS
React
ES6 & ES7","It's a great group, keep it up. Making the happy hour after more organized may encourage people to mingle more."
adb3f0b0b7c053f4ba0b456365c1fcab,Midtown / Downtown,,,,,,,,,,,,,Personal conflict,,I'm fairly new to the group.   I'm interested in anything new or informative.  Meeting other developers is a plus as well. ,,
93f869effea39429750328dce29752e6,,,Alpharetta / Johns Creek / Norcross / North Fulton / Gwinett,,,1,Did not want to commute,,,,,,,,,performance,,
f561f34b85e342e2803955b7c523d723,,,,Kennesaw / Woodstock,,0,,,,,,,,,I joined very recently :),The true power of JavaScript. And stressing the importance of using JavaScript over frameworks until a developer knows the language very well.,,
15bfc8ed55daf59af14b641ad3772d27,,,Alpharetta / Johns Creek / Norcross / North Fulton / Gwinett,,,2,Did not want to commute,,,,,,"Inconvinience of event location (parking, or other)",,,"Angular JS, ionic framework, JavaScript unit testing",,
0c0551936ff622e477b195085d4e161b,,,Alpharetta / Johns Creek / Norcross / North Fulton / Gwinett,,,0,,Not interested in topic for that night,,,The group felt intimidating last time I went,,,,,"Nodejs, meteor",Mean.js,
4e556f241ad6c3a46d1bc7e04f7d9667,,,Alpharetta / Johns Creek / Norcross / North Fulton / Gwinett,,,0,,,,,,,,,I'm new,"Typescript, ng, ng2, ionic","None yet, but soon",
9a4007d0c930516244144455e52f5ca6,,,Alpharetta / Johns Creek / Norcross / North Fulton / Gwinett,,,2,Did not want to commute,,,,,,,,,Frameworks ,Far to new to js to present,
9617f79865c2456f0d2b6d3b4bbac06b,,Buckhead,,,,5,Did not want to commute,Not interested in topic for that night,Conflict with another meetup,,,Weather or other things outside of your control,,,,New libraries that u can use at work.,I'm not at that stage.,You guys do a really good job
b625bcb6633a49054d1b17e2b24c5203,,,,,Galleria / Cumberland Mall area,3,Did not want to commute,Not interested in topic for that night,,,,Weather or other things outside of your control,,Personal conflict,,,,
e48cca556e31738d809f0a7734ebc902,,,Alpharetta / Johns Creek / Norcross / North Fulton / Gwinett,,,2,Did not want to commute,,Conflict with another meetup,,,,"Inconvinience of event location (parking, or other)",Personal conflict,,,,
45b28f5ec179bfe25b8c3b85328b0fdf,Midtown / Downtown,,,,,1,Did not want to commute,Not interested in topic for that night,,,,,,,,"I'd like talks on just writing better JavaScript. Frameworks come and go, and can be a crutch. ",I'm not the best at JavaScript but I'm decent. I can talk about CoffeeScript and making your own tools. I'd probably be best for beginner and intermediate topics. ,
2d8c8d65e2822c2861780f8f2afeeec3,,,,,Smyrna,6,,,,,,,,Personal conflict,,JavaScript design patterns.,Not quite there yet!,"Does ATL.JS have a web site where meetup powerpoints, notes, code snippits are available?"
8428bb02138262cdfc6f823ef6b31d3b,,Buckhead,,Kennesaw / Woodstock,,5,Did not want to commute,,,,,,,,,"IoT, automation (build tools and real life), cool things people have done with JS that aren't necessarily applicable to work, software craftsmanship",,Doing a great job so far! Maybe spread the word about tech404 so that community can continue to grow. 
